train,test,norm,pos,quat
1.8422787,1.2284552,0.052648146,15.380012,0.3322365
1.1966627,1.0823292,0.02510035,9.647023,0.25494462
0.9797456,0.75247914,0.016109934,7.808629,0.21919087
0.8532554,0.8547718,0.014426627,6.776529,0.19351086
0.7681183,0.5942056,0.013202229,6.0971236,0.17453961
0.70465356,0.57093525,0.0121255275,5.561496,0.16365714
0.6644009,0.5806444,0.011653453,5.233588,0.15541857
0.61734563,0.5693851,0.011248212,4.8332324,0.14766398
0.5815082,0.35959455,0.010643526,4.5387387,0.14063333
0.5527452,0.4375627,0.0100673605,4.3090634,0.13425794
0.52343935,0.5940585,0.009520692,4.0751467,0.12774734
0.50038946,0.61799765,0.009042033,3.9011166,0.12152619
0.47217825,0.3137166,0.008538395,3.679152,0.11489913
0.44757065,0.41949442,0.007997716,3.4884956,0.10880148
0.43214008,0.36697933,0.0075916993,3.38066,0.10368329
0.4114361,0.37161896,0.0073355776,3.208386,0.099848814
0.39588547,0.29154477,0.0071376935,3.0806816,0.096781686
0.38097522,0.32967904,0.006885888,2.953146,0.09441336
0.36357182,0.279405,0.0065743118,2.8014252,0.09196874
0.3535202,0.27285635,0.0063455617,2.7188148,0.09000461
0.34589592,0.32160407,0.0061801975,2.6590781,0.08818899
0.33388114,0.2447816,0.005996007,2.5560536,0.086306855
0.32466623,0.33970425,0.005777582,2.4794042,0.08460894
0.31743255,0.2505527,0.00562701,2.4211192,0.08306435
0.30600807,0.23929867,0.005454483,2.321069,0.08150639
0.30222002,0.25867486,0.0053243134,2.295051,0.080202766
0.29291368,0.23179315,0.0051556285,2.2153401,0.07873787
0.2873582,0.25047737,0.0050487295,2.1708686,0.077518314
0.28023833,0.22983104,0.0049212594,2.1118412,0.07618013
0.27683717,0.21225505,0.004800256,2.0884025,0.07501873
0.26905772,0.23794295,0.004673101,2.021475,0.07382543
0.26300246,0.22394419,0.0045457683,1.9707181,0.0727512
0.2595612,0.23027544,0.004455615,1.9456166,0.07172664
0.25546834,0.2043207,0.0043751593,1.914141,0.07068523
0.2513727,0.17616358,0.004277545,1.882307,0.06968249
0.24563934,0.1732875,0.0042093745,1.8337317,0.06871692
0.24239132,0.20466733,0.0040962338,1.8094674,0.06781662
0.23781832,0.22602779,0.0040476364,1.771513,0.066958055
0.23822325,0.20388722,0.00400348,1.7825863,0.06618254
0.23007117,0.18334346,0.003910716,1.7098067,0.0652216
0.22671866,0.18508835,0.0038320378,1.6834042,0.06443892
0.22375631,0.16580376,0.0037673265,1.6611439,0.06362801
0.22018486,0.15603106,0.0037096788,1.6322583,0.06287561
0.21711779,0.17823541,0.003640191,1.6082151,0.062146954
0.21553299,0.16264458,0.0036151658,1.5989044,0.061423406
0.21173704,0.16845012,0.0035669573,1.5677291,0.06067492
0.20875053,0.2665363,0.003526873,1.5431728,0.0600895
0.20590246,0.15245596,0.0034554368,1.5213287,0.059360057
0.20423901,0.13875921,0.0034127892,1.5100725,0.058767207
0.20082691,0.194504,0.0033556072,1.4815139,0.05815554
0.1439537,0.11684985,0.0032361494,0.9382865,0.05533493
0.1399699,0.12559935,0.0031133837,0.9039733,0.054734718
0.1394476,0.08455656,0.00305117,0.90253,0.054321654
0.13821463,0.18013902,0.0030035246,0.89349157,0.053961255
0.13731955,0.10259998,0.0029526975,0.88839316,0.05353884
0.13638715,0.10300291,0.0029079847,0.8827094,0.053139344
0.13507868,0.14252274,0.0028692489,0.8726269,0.05281008
